Type,Date,Candle_Percent,MACD_Percent,Asset_Tag
CBullDivg_Classic,1990-10-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1990-10-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1990-10-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1991-09-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1991-10-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-02-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1992-02-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-02-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1992-02-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-02-25 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1992-02-25 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1992-03-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-03-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1992-03-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-03-27 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-03-31 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1992-03-31 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-04-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1992-04-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-04-08 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-06-05 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-10-05 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1992-10-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1992-10-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1993-01-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1993-04-08 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1993-06-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1993-06-23 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1993-07-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1993-07-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1993-08-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1993-11-23 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1993-11-23 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1994-02-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1994-02-25 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1994-03-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1994-03-01 00:00:00+00:00,0.4,3.25,sp500_stooq
