date,open,high,low,close,volume,price_change,gain,loss,avg_gain,avg_loss,RS,RSI,EMA_12,EMA_20,EMA_26,EMA_50,EMA_100,EMA_200,macd,signal,macd_histogram,LM_High_window_1_CS,LM_High_window_2_CS,Level_1_High_window_1_CS,LM_Low_window_1_CS,LM_Low_window_2_CS,Level_1_Low_window_1_CS,LM_High_window_1_MACD,LM_High_window_2_MACD,LM_Low_window_1_MACD,LM_Low_window_2_MACD,Level_2_High_window_1_CS,Level_2_Low_window_1_CS,CBullD_gen,CBullD_neg_MACD
2017-08-17 00:00:00+0000,4261.48,4485.39,4200.74,4285.08,795.150377,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4285.08,4285.08,4285.08,4285.08,4285.08,4285.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-18 00:00:00+0000,4285.08,4371.52,3938.77,4108.37,1199.888264,-176.71,0.0,176.71,0.0,0.0,0.0,100.0,4257.8938,4268.2505,4271.9904,4278.1502,4281.5808,4283.3217,-14.0966,-2.8193,-11.2773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-19 00:00:00+0000,4108.37,4184.69,3850.0,4139.98,381.309763,31.61,31.61,0.0,0.0,0.0,0.0,100.0,4239.7533,4256.0342,4262.2118,4272.7318,4278.7768,4281.8954,-22.4585,-6.7472,-15.7113,0.0,0.0,0.0,0.0,3850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-20 00:00:00+0000,4120.98,4211.08,4032.62,4086.29,467.083022,-53.69,0.0,53.69,0.0,0.0,0.0,100.0,4216.1435,4239.8681,4249.1806,4265.4203,4274.9652,4279.9491,-33.0371,-12.0051,-21.032,0.0,4211.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-21 00:00:00+0000,4069.13,4119.62,3911.79,4016.0,691.74306,-70.29,0.0,70.29,0.0,0.0,0.0,100.0,4185.3522,4218.5473,4231.9079,4255.6391,4269.8372,4277.3227,-46.5557,-18.9153,-27.6404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-22 00:00:00+0000,4016.0,4104.82,3400.0,4040.0,966.684858,24.0,24.0,0.0,0.0,0.0,0.0,100.0,4162.9903,4201.5428,4217.6925,4247.1827,4265.2859,4274.9613,-54.7022,-26.0726,-28.6296,0.0,0.0,0.0,3400.0,3400.0,3400.0,0.0,0.0,3400.0,3400.0,0.0,0.0,0.0,0.0
2017-08-23 00:00:00+0000,4040.0,4265.8,4013.89,4114.01,1001.136565,74.01,74.01,0.0,0.0,0.0,0.0,100.0,4155.4549,4193.2064,4210.0124,4241.9602,4262.2904,4273.3598,-54.5575,-31.7696,-22.7879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-24 00:00:00+0000,4147.0,4371.68,4085.01,4316.01,787.418753,202.0,202.0,0.0,0.0,0.0,0.0,100.0,4180.1557,4204.902,4217.864,4244.8641,4263.3541,4273.7842,-37.7083,-32.9574,-4.7509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-25 00:00:00+0000,4316.01,4453.91,4247.48,4280.68,573.61274,-35.33,0.0,35.33,0.0,0.0,0.0,100.0,4195.621,4212.1189,4222.5171,4246.2687,4263.6972,4273.8528,-26.8961,-31.7451,4.849,0.0,4453.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-26 00:00:00+0000,4280.71,4367.0,4212.41,4337.44,228.108068,56.76,56.76,0.0,0.0,0.0,0.0,100.0,4217.4393,4224.0543,4231.0299,4249.844,4265.1575,4274.4855,-13.5906,-28.1142,14.5236,0.0,0.0,0.0,0.0,4212.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-27 00:00:00+0000,4332.51,4400.0,4285.54,4310.01,350.692585,-27.43,0.0,27.43,0.0,0.0,0.0,100.0,4231.6809,4232.2405,4236.8803,4252.2035,4266.0456,4274.839,-5.1994,-23.5312,18.3318,0.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-28 00:00:00+0000,4310.01,4399.82,4124.54,4386.69,603.841616,76.68,76.68,0.0,0.0,0.0,0.0,100.0,4255.5285,4246.95,4247.9773,4257.4775,4268.4346,4275.9519,7.5512,-17.3148,24.866,0.0,0.0,0.0,0.0,4124.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-29 00:00:00+0000,4353.65,4625.85,4313.55,4587.48,603.545028,200.79,200.79,0.0,0.0,0.0,0.0,100.0,4306.5979,4279.3814,4273.1256,4270.4187,4274.7524,4279.0517,33.4723,-7.1573,40.6296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-30 00:00:00+0000,4564.52,4647.51,4416.01,4555.14,808.468771,-32.34,0.0,32.34,0.0,0.0,0.0,100.0,4344.8352,4305.6441,4294.0156,4281.5843,4280.3046,4281.7989,50.8196,4.438,46.3816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 00:00:00+0000,4555.14,4745.42,4555.14,4724.89,556.956802,169.75,169.75,0.0,59.685714,28.270714,2.111221,67.86,4403.3052,4345.5723,4325.9322,4298.9688,4289.1083,4286.2077,77.373,19.025,58.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
