Fold,Start,End,IS_Trades,IS_Total_PnL,IS_PF,OOS_Trades,OOS_Total_PnL,OOS_PF
1,2017-08-27 00:00:00+00:00,2019-02-03 00:00:00+00:00,0,280051.843499999,2.195,0,15432.471999999954,2.658
2,2019-02-24 00:00:00+00:00,2020-08-02 00:00:00+00:00,0,214748.85399999924,2.266,0,22934.23049999997,3.354
3,2020-08-23 00:00:00+00:00,2022-01-31 00:00:00+00:00,0,523401.2424999983,2.262,0,36437.899499999934,3.998
4,2022-02-21 00:00:00+00:00,2023-07-31 00:00:00+00:00,0,558642.8274999987,2.756,0,27387.07749999988,2.556
5,2023-08-21 00:00:00+00:00,2025-01-28 00:00:00+00:00,0,510119.97349999734,1.94,0,56341.5244999999,2.72
