Fold,Start,End,Asset,Trades,Total_PnL,PF,MaxDD_%,Final_Equity
1,2017-08-27 00:00:00+00:00,2019-02-03 00:00:00+00:00,btc_1day_candlesticks_all,,15432.471999999954,2.658,,25432.471999999958
2,2019-02-24 00:00:00+00:00,2020-08-02 00:00:00+00:00,btc_1day_candlesticks_all,,22934.23049999997,3.354,,32934.23049999997
3,2020-08-23 00:00:00+00:00,2022-01-31 00:00:00+00:00,btc_1day_candlesticks_all,,36437.899499999934,3.998,,46437.899499999934
4,2022-02-21 00:00:00+00:00,2023-07-31 00:00:00+00:00,btc_1day_candlesticks_all,,27387.07749999988,2.556,,37387.07749999988
5,2023-08-21 00:00:00+00:00,2025-01-28 00:00:00+00:00,btc_1day_candlesticks_all,,56341.5244999999,2.72,,66341.52449999991
