date,open,high,low,close,volume
2009-10-05 05:30:00+05:30,78.7,79.5,76.5,78.0,978680.0
2009-10-06 05:30:00+05:30,78.0,80.5,76.0,80.5,819330.0
2009-10-07 05:30:00+05:30,80.5,82.2,79.4,81.4,1635110.0
2009-10-08 05:30:00+05:30,81.4,86.35,81.4,85.2,1711540.0
2009-10-09 05:30:00+05:30,85.2,85.9,80.65,81.5,720160.0
2009-10-12 05:30:00+05:30,81.5,84.3,81.5,82.7,503450.0
2009-10-14 05:30:00+05:30,82.7,85.15,80.8,83.9,786800.0
2009-10-15 05:30:00+05:30,83.9,85.7,83.1,84.0,942750.0
2009-10-16 05:30:00+05:30,84.0,87.45,83.5,86.35,1023500.0
2009-10-20 05:30:00+05:30,86.65,88.8,84.3,86.65,668970.0
2009-10-21 05:30:00+05:30,86.65,87.45,82.5,82.8,505590.0
2009-10-22 05:30:00+05:30,82.8,83.4,79.5,80.0,696040.0
2009-10-23 05:30:00+05:30,79.7,83.4,79.7,82.9,567470.0
2009-10-26 05:30:00+05:30,82.9,85.45,81.5,85.2,472290.0
2009-10-27 05:30:00+05:30,85.2,85.4,80.1,80.2,617850.0
2009-10-28 05:30:00+05:30,80.2,83.4,79.0,82.5,655710.0
2009-10-29 05:30:00+05:30,82.5,82.5,76.1,76.6,1235180.0
2009-10-30 05:30:00+05:30,76.6,78.5,73.6,75.3,1511430.0
2009-11-03 05:30:00+05:30,75.5,77.0,73.55,75.35,1133640.0
2009-11-04 05:30:00+05:30,75.35,80.0,75.0,79.5,1605040.0
2009-11-05 05:30:00+05:30,79.7,82.0,78.1,81.1,634370.0
2009-11-06 05:30:00+05:30,81.1,83.95,81.0,81.9,729850.0
2009-11-09 05:30:00+05:30,81.9,82.4,79.8,82.1,822470.0
2009-11-10 05:30:00+05:30,82.0,83.9,79.25,80.0,1153700.0
2009-11-11 05:30:00+05:30,80.0,82.3,79.65,81.3,331220.0
2009-11-12 05:30:00+05:30,81.3,82.1,78.1,78.5,576370.0
