Type,Date,Candle_Percent,MACD_Percent
CBullDivg_Hidden,2017-12-30 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-01-11 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-01-12 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-01-12 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-01-16 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-01-22 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-01-22 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-02-02 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-02-02 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-02-06 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-04-01 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-04-01 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-05-26 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-05-28 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-06-13 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-06-22 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-06-24 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-06-24 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-09-17 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-09-17 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-12-08 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2018-12-08 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2018-12-15 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2019-01-22 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2019-01-29 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2019-01-29 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2019-08-22 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2019-08-22 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2019-08-24 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2019-08-24 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2019-08-29 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2019-08-30 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2019-10-23 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2019-10-24 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2019-10-24 00:00:00+0000,0.1,3.25
CBullDivg_Classic,2019-12-17 00:00:00+0000,0.1,3.25
CBullDivg_Hidden,2019-12-17 00:00:00+0000,0.1,3.25
