date,Buy_Signal,Buy_Signal_Date,Stoploss_Trigger,Stoploss_Trigger_Date,Actual_Buy,Buy_Quantity,Total_Buy_Quantity,Actual_Sell,Available_Capital_for_trade,Current_Capital_Value,Stoploss,LM_Low_window_1_CS_last,LM_Low_window_1_CS_last_date,First_buy_date,Divg_Slope,Trade_Profit,Trade_Loss,Trade_Brokerage_Paid
2024-10-29 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-30 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-10-31 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-01 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-02 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-03 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-04 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-05 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-06 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-07 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-08 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,65260.0,2024-10-23 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-09 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,66835.0,2024-11-04 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-10 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,66835.0,2024-11-04 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-11 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,66835.0,2024-11-04 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-12 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,66835.0,2024-11-04 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-13 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,66835.0,2024-11-04 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-14 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,66835.0,2024-11-04 00:00:00+00:00,0,0.0,0.0,0.0,0.0
2024-11-15 00:00:00+00:00,0,0,0,0,0,0.0,0.0,0,10000.0,10000.0,0.0,66835.0,2024-11-04 00:00:00+00:00,0,0.0,0.0,0.0,0.0
